System,ShaftSize,ShaftUnits,SternSize,SternUnits,FSK_Template,FSK_Notes,Priority,RuleType,FSA_Template,FSA_Tail_OD_in,Hose_Code,Hose_End1_in,Hose_End2_in,Clamp1_Code,Clamp2_Code,Comments
imperial,0.875,in,1.75,in,FSK-0875-1750,step-down (FSA tail > stern); exact fit at both ends,1,recommended,FSA-0875-2000,2.0,HS 1750-2000,1.75,2.0,,,Recommended | Hose flipped | Fit FSA exact | Fit stern exact | Step-down Yes
imperial,0.875,in,1.75,in,FSK-0875-1750,"straight hose; stretch at FSA end and exact at stern end (FSA end stretched by 0.250"" )",3,stretch_quarter_in,FSA-0875-2000,2.0,HOSE 1750,1.75,1.75,,,Alternative | Hose straight | Fit FSA stretch | Fit stern exact | Step-down No
imperial,0.875,in,2.0,in,FSK-0875-2000,exact fit at both ends,1,recommended,FSA-0875-2000,2.0,HS 2000-2000,2.0,2.0,,,Recommended | Hose normal | Fit FSA exact | Fit stern exact | Step-down No
imperial,0.875,in,2.0,in,FSK-0875-2000,straight hose; exact at FSA end and exact at stern end,3,straight_hose,FSA-0875-2000,2.0,HOSE 2000,2.0,2.0,,,Alternative | Hose straight | Fit FSA exact | Fit stern exact | Step-down No
imperial,0.875,in,2.0,in,FSK-0875-2000,"stretch at FSA end (0.250"" larger OD than hose ID)",3,straight_hose,FSA-0875-2000,2.0,HS 1750-2000,1.75,2.0,,,Alternative | Hose normal | Fit FSA stretch | Fit stern exact | Step-down No
imperial,0.875,in,2.0,in,FSK-0875-2000,"straight hose; stretch at FSA end and stretch at stern end (FSA end stretched by 0.250"" ) (stern end stretched by 0.250"" )",4,stretch_quarter_in,FSA-0875-2000,2.0,HOSE 1750,1.75,1.75,,,Alternative | Hose straight | Fit FSA stretch | Fit stern stretch | Step-down No
imperial,0.875,in,2.0,in,FSK-0875-2000,"straight hose; stretch at FSA end and stretch at stern end (FSA end stretched by 0.125"" ) (stern end stretched by 0.125"" )",4,stretch_quarter_in,FSA-0875-2000,2.0,HOSE 1875,1.875,1.875,,,Alternative | Hose straight | Fit FSA stretch | Fit stern stretch | Step-down No
imperial,0.875,in,2.0,in,FSK-0875-2000,"stretch at stern end (0.250"" larger OD than hose ID)",4,stretch_quarter_in,FSA-0875-2000,2.0,HS 1750-2000,1.75,2.0,,,Alternative | Hose flipped | Fit FSA exact | Fit stern stretch | Step-down No
imperial,1.0,in,1.5,in,FSK-1000-1500,"No hose can be fit over these diameters without exceeding 1/4"" stretch or 1mm looseness; consult factory for custom solution.",5,estimated,,,,,,,,Estimated build | Hose nan | Fit FSA nan | Fit stern nan | Step-down nan
imperial,1.0,in,1.75,in,FSK-1000-1750,step-down (FSA tail > stern); exact fit at both ends,1,recommended,FSA-1000-2000,2.0,HS 1750-2000,1.75,2.0,,,Recommended | Hose flipped | Fit FSA exact | Fit stern exact | Step-down Yes
imperial,1.0,in,1.75,in,FSK-1000-1750,"straight hose; stretch at FSA end and exact at stern end (FSA end stretched by 0.250"" )",3,stretch_quarter_in,FSA-1000-2000,2.0,HOSE 1750,1.75,1.75,,,Alternative | Hose straight | Fit FSA stretch | Fit stern exact | Step-down No
imperial,1.0,in,1.875,in,FSK-1000-1875,"step-down (FSA tail > stern); stretch at stern end (0.125"" larger OD than hose ID)",1,recommended,FSA-1000-2000,2.0,HS 1750-2000,1.75,2.0,,,Recommended | Hose flipped | Fit FSA exact | Fit stern stretch | Step-down Yes
imperial,1.0,in,1.875,in,FSK-1000-1875,"straight hose; stretch at FSA end and exact at stern end (FSA end stretched by 0.125"" )",3,stretch_quarter_in,FSA-1000-2000,2.0,HOSE 1875,1.875,1.875,,,Alternative | Hose straight | Fit FSA stretch | Fit stern exact | Step-down No
imperial,1.0,in,1.875,in,FSK-1000-1875,"straight hose; stretch at FSA end and stretch at stern end (FSA end stretched by 0.250"" ) (stern end stretched by 0.125"" )",4,stretch_quarter_in,FSA-1000-2000,2.0,HOSE 1750,1.75,1.75,,,Alternative | Hose straight | Fit FSA stretch | Fit stern stretch | Step-down No
imperial,1.0,in,2.0,in,FSK-1000-2000,exact fit at both ends,1,recommended,FSA-1000-2000,2.0,HS 2000-2000,2.0,2.0,,,Recommended | Hose normal | Fit FSA exact | Fit stern exact | Step-down No
imperial,1.0,in,2.0,in,FSK-1000-2000,straight hose; exact at FSA end and exact at stern end,3,straight_hose,FSA-1000-2000,2.0,HOSE 2000,2.0,2.0,,,Alternative | Hose straight | Fit FSA exact | Fit stern exact | Step-down No
imperial,1.0,in,2.0,in,FSK-1000-2000,"stretch at FSA end (0.250"" larger OD than hose ID)",3,straight_hose,FSA-1000-2000,2.0,HS 1750-2000,1.75,2.0,,,Alternative | Hose normal | Fit FSA stretch | Fit stern exact | Step-down No
imperial,1.0,in,2.0,in,FSK-1000-2000,"straight hose; stretch at FSA end and stretch at stern end (FSA end stretched by 0.250"" ) (stern end stretched by 0.250"" )",4,stretch_quarter_in,FSA-1000-2000,2.0,HOSE 1750,1.75,1.75,,,Alternative | Hose straight | Fit FSA stretch | Fit stern stretch | Step-down No
imperial,1.0,in,2.0,in,FSK-1000-2000,"straight hose; stretch at FSA end and stretch at stern end (FSA end stretched by 0.125"" ) (stern end stretched by 0.125"" )",4,stretch_quarter_in,FSA-1000-2000,2.0,HOSE 1875,1.875,1.875,,,Alternative | Hose straight | Fit FSA stretch | Fit stern stretch | Step-down No
imperial,1.0,in,2.0,in,FSK-1000-2000,"stretch at stern end (0.250"" larger OD than hose ID)",4,stretch_quarter_in,FSA-1000-2000,2.0,HS 1750-2000,1.75,2.0,,,Alternative | Hose flipped | Fit FSA exact | Fit stern stretch | Step-down No
imperial,1.0,in,2.25,in,FSK-1000-2250,step-down (FSA tail > stern); exact fit at both ends,1,recommended,FSA-1000-2375,2.375,HS 2250-2375,2.25,2.375,,,Recommended | Hose flipped | Fit FSA exact | Fit stern exact | Step-down Yes
imperial,1.0,in,2.25,in,FSK-1000-2250,"straight hose; stretch at FSA end and exact at stern end (FSA end stretched by 0.125"" )",3,stretch_quarter_in,FSA-1000-2375,2.375,HOSE 2250,2.25,2.25,,,Alternative | Hose straight | Fit FSA stretch | Fit stern exact | Step-down No
imperial,1.0,in,2.25,in,FSK-1000-2250,"step-down (FSA tail > stern); stretch at FSA end (0.005"" larger OD than hose ID)",3,straight_hose,FSA-1000-2375,2.375,HS 2250-2375,2.25,2.375,,,Alternative | Hose flipped | Fit FSA stretch | Fit stern exact | Step-down Yes
imperial,1.0,in,2.25,in,FSK-1000-2250,"step-down (FSA tail > stern); stretch at FSA end (0.250"" larger OD than hose ID)",3,straight_hose,FSA-1000-2625,2.625,HS 2250-2375,2.25,2.375,,,Alternative | Hose flipped | Fit FSA stretch | Fit stern exact | Step-down Yes
imperial,1.0,in,2.25,in,FSK-1000-2250,"straight hose; exact at FSA end and stretch at stern end (stern end stretched by 0.250"" )",4,stretch_quarter_in,FSA-1000-2000,2.0,HOSE 2000,2.0,2.0,,,Alternative | Hose straight | Fit FSA exact | Fit stern stretch | Step-down No
imperial,1.0,in,2.25,in,FSK-1000-2250,"straight hose; stretch at FSA end and stretch at stern end (FSA end stretched by 0.250"" ) (stern end stretched by 0.125"" )",4,stretch_quarter_in,FSA-1000-2375,2.375,HOSE 2125,2.125,2.125,,,Alternative | Hose straight | Fit FSA stretch | Fit stern stretch | Step-down No
imperial,1.0,in,2.25,in,FSK-1000-2250,"stretch at FSA end (0.250"" larger OD than hose ID); stretch at stern end (0.250"" larger OD than hose ID)",4,stretch_quarter_in,FSA-1000-2000,2.0,HS 1750-2000,1.75,2.0,,,Alternative | Hose normal | Fit FSA stretch | Fit stern stretch | Step-down No
imperial,1.0,in,2.25,in,FSK-1000-2250,"stretch at stern end (0.250"" larger OD than hose ID)",4,stretch_quarter_in,FSA-1000-2000,2.0,HS 2000-2000,2.0,2.0,,,Alternative | Hose normal | Fit FSA exact | Fit stern stretch | Step-down No
imperial,1.0,in,2.5,in,FSK-1000-2500,step-down (FSA tail > stern); exact fit at both ends,1,recommended,FSA-1000-2625,2.625,HS 2500-2625,2.5,2.625,,,Recommended | Hose flipped | Fit FSA exact | Fit stern exact | Step-down Yes
imperial,1.0,in,2.5,in,FSK-1000-2500,"straight hose; stretch at FSA end and exact at stern end (FSA end stretched by 0.125"" )",3,stretch_quarter_in,FSA-1000-2625,2.625,HOSE 2500,2.5,2.5,,,Alternative | Hose straight | Fit FSA stretch | Fit stern exact | Step-down No
