Measurement_System,FSK_SKU,ShaftSize,ShaftUnits,SternSize,SternUnits,Priority,Priority Meaning,FSA_Template,Hose_Code,Hose_Orientation,Clamp1_Code,Clamp1_Qty,Clamp2_Code,Clamp2_Qty,Total_Clamps_Per_Kit,Hat_SKU,Hat_Qty,Is_US_Recommended,Stretch_Type,Stretch_Backend_in,Stretch_Stern_in,Comments
Imperial,FSK-0875-1500-0,0.875,in,1.5,in,3,Stretch at FSA backend only,FSA-0875-1750-0,HOSE 1500,A->Backend,CLAMP-2000,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Stretch at FSA backend only,0.25,0.0,Rule Engine
Imperial,FSK-0875-1500-0,0.875,in,1.5,in,4,Straight hose (no stretch),FSA-0875-1500-0,HOSE 1500,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Straight hose (no stretch),0.0,0.0,Rule Engine
Imperial,FSK-0875-1500-0,0.875,in,1.5,in,4,Straight hose (no stretch),FSA-0875-1500-1,HOSE 1500,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Straight hose (no stretch),0.0,0.0,Rule Engine
Imperial,FSK-0875-1500-0,0.875,in,1.5,in,4,Straight hose (no stretch),FSA-0875-1500-4,HOSE 1500,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Straight hose (no stretch),0.0,0.0,Rule Engine
Imperial,FSK-0875-1500-0,0.875,in,1.5,in,4,Straight hose (no stretch),FSA-0875-1500-5,HOSE 1500,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Straight hose (no stretch),0.0,0.0,Rule Engine
Imperial,FSK-0875-1500-0,0.875,in,1.5,in,6,Stretch at both ends,FSA-0875-1500-0,HOSE 1250,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Stretch at both ends,0.25,0.25,Rule Engine
Imperial,FSK-0875-1500-0,0.875,in,1.5,in,6,Stretch at both ends,FSA-0875-1500-1,HOSE 1250,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Stretch at both ends,0.25,0.25,Rule Engine
Imperial,FSK-0875-1500-0,0.875,in,1.5,in,6,Stretch at both ends,FSA-0875-1500-4,HOSE 1250,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Stretch at both ends,0.25,0.25,Rule Engine
Imperial,FSK-0875-1500-0,0.875,in,1.5,in,6,Stretch at both ends,FSA-0875-1500-5,HOSE 1250,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Stretch at both ends,0.25,0.25,Rule Engine
Imperial,FSK-0875-1500-1,0.875,in,1.5,in,3,Stretch at FSA backend only,FSA-0875-1750-0,HOSE 1500,A->Backend,CLAMP-2000,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Stretch at FSA backend only,0.25,0.0,Rule Engine
Imperial,FSK-0875-1500-1,0.875,in,1.5,in,4,Straight hose (no stretch),FSA-0875-1500-0,HOSE 1500,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Straight hose (no stretch),0.0,0.0,Rule Engine
Imperial,FSK-0875-1500-1,0.875,in,1.5,in,4,Straight hose (no stretch),FSA-0875-1500-1,HOSE 1500,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Straight hose (no stretch),0.0,0.0,Rule Engine
Imperial,FSK-0875-1500-1,0.875,in,1.5,in,4,Straight hose (no stretch),FSA-0875-1500-4,HOSE 1500,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Straight hose (no stretch),0.0,0.0,Rule Engine
Imperial,FSK-0875-1500-1,0.875,in,1.5,in,4,Straight hose (no stretch),FSA-0875-1500-5,HOSE 1500,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Straight hose (no stretch),0.0,0.0,Rule Engine
Imperial,FSK-0875-1500-1,0.875,in,1.5,in,6,Stretch at both ends,FSA-0875-1500-0,HOSE 1250,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Stretch at both ends,0.25,0.25,Rule Engine
Imperial,FSK-0875-1500-1,0.875,in,1.5,in,6,Stretch at both ends,FSA-0875-1500-1,HOSE 1250,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Stretch at both ends,0.25,0.25,Rule Engine
Imperial,FSK-0875-1500-1,0.875,in,1.5,in,6,Stretch at both ends,FSA-0875-1500-4,HOSE 1250,A->Backend,CLAMP-1500,2,CLAMP-1500,2,4,HAT-0875-02,1,False,Stretch at both ends,0.25,0.25,Rule Engine
