System,ShaftSize,ShaftUnits,SternSize,SternUnits,FSK_Template,FSK_Notes,Priority,RuleType,Is_US_Recommended,Stretch_Type,Stretch_Backend_in,Stretch_Stern_in,FSA_Template,FSA_Tail_OD_in,Hose_Code,Hose_End1_in,Hose_End2_in,Clamp1_Code,Clamp1_Qty,Clamp2_Code,Clamp2_Qty,Comments
SureSeal,0.875,in,1.5,in,FSK-0875-1500-0,,2,Rule Engine,False,None,0.0,0.0,FSA-0875-1500-0,1.5,HOSE 1500,1.5,1.5,CLAMP-2000,2,CLAMP-2000,2,Rule Engine; Straight; Orientation A->Backend
SureSeal,0.875,in,1.5,in,FSK-0875-1500-0,,3,Rule Engine,False,Backend,0.25,0.0,FSA-0875-1750-0,1.75,HOSE 1500,1.5,1.5,CLAMP-2000,2,CLAMP-2000,2,"Rule Engine; Straight; Orientation A->Backend; Stretch backend 0.250in, stern 0.000in"
SureSeal,0.875,in,1.5,in,FSK-0875-1500-1,,2,Rule Engine,False,None,0.0,0.0,FSA-0875-1500-1,1.5,HOSE 1500,1.5,1.5,CLAMP-2000,2,CLAMP-2000,2,Rule Engine; Straight; Orientation A->Backend
SureSeal,0.875,in,1.75,in,FSK-0875-1750-0,,2,Rule Engine,False,None,0.0,0.0,FSA-0875-1750-0,1.75,HOSE 1750,1.75,1.75,CLAMP-2000,2,CLAMP-2000,2,Rule Engine; Straight; Orientation A->Backend
SureSeal,0.875,in,1.75,in,FSK-0875-1750-0,,2,Rule Engine,False,None,0.0,0.0,FSA-0875-2000-0,2.0,HS 1750-2000,1.75,2.0,CLAMP-2000,2,CLAMP-2000,2,Rule Engine; Articulated; Orientation B->Backend
SureSeal,0.875,in,1.75,in,FSK-0875-1750-1,,1,US Recommended,True,None,0.0,0.0,FSA-0875-2000-1,2.0,HS 1750-2000,1.75,2.0,CLAMP-2000,2,CLAMP-2000,2,US Recommended; Articulated Hose; Orientation B->Backend
SureSeal,0.875,in,1.75,in,FSK-0875-1750-1,,2,Rule Engine,False,None,0.0,0.0,FSA-0875-2000-1,2.0,HS 1750-2000,1.75,2.0,CLAMP-2000,2,CLAMP-2000,2,Rule Engine; Articulated; Orientation B->Backend
SureSeal,0.875,in,1.875,in,nan,,3,Rule Engine,False,Backend,0.125,0.0,FSA-0875-2000-0,2.0,HOSE 1875,1.875,1.875,CLAMP-2000,2,CLAMP-2000,2,"Rule Engine; Straight; Orientation A->Backend; Stretch backend 0.125in, stern 0.000in"
SureSeal,0.875,in,1.875,in,nan,,5,Rule Engine,False,Stern,0.0,0.125,FSA-0875-2000-0,2.0,HS 1750-2000,1.75,2.0,CLAMP-2000,2,CLAMP-2000,2,"Rule Engine; Articulated; Orientation B->Backend; Stretch backend 0.000in, stern 0.125in"
SureSeal,0.875,in,1.875,in,nan,,3,Rule Engine,False,Backend,0.125,0.0,FSA-0875-2000-1,2.0,HOSE 1875,1.875,1.875,CLAMP-2000,2,CLAMP-2000,2,"Rule Engine; Straight; Orientation A->Backend; Stretch backend 0.125in, stern 0.000in"
SureSeal,0.875,in,2.0,in,FSK-0875-2000-0,,2,Rule Engine,False,None,0.0,0.0,FSA-0875-1750-0,1.75,HS 1750-2000,1.75,2.0,CLAMP-2000,2,CLAMP-2000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,0.875,in,2.0,in,FSK-0875-2000-0,,2,Rule Engine,False,None,0.0,0.0,FSA-0875-2000-0,2.0,HS 2000-2000,2.0,2.0,CLAMP-2000,2,CLAMP-2000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,0.875,in,2.0,in,FSK-0875-2000-1,,1,US Recommended,True,None,0.0,0.0,FSA-0875-2000-1,2.0,HS 2000-2000,2.0,2.0,CLAMP-2000,2,CLAMP-2000,2,US Recommended; Articulated Hose; Orientation A->Backend
