System,ShaftSize,ShaftUnits,SternSize,SternUnits,Priority,Is_US_Recommended,RuleType,Stretch_Type,Stretch_Backend_in,Stretch_Stern_in,FSA_Template,Hose_Code,Clamp1_Code,Clamp1_Qty,Clamp2_Code,Clamp2_Qty,Hose_Orientation,Comments
SureSeal,1.0,in,1.75,in,1,True,US Recommended,None,0.0,0.0,FSA-1000-2000-1,HS 1750-2000,CLAMP-2000,2,CLAMP-2000,2,B->Backend,Articulated; Orientation B->Backend
SureSeal,1.0,in,1.75,in,4,False,Rule Engine,Backend,0.25,0.0,FSA-1000-2000-1,HOSE 1750,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.0,in,1.875,in,4,False,Rule Engine,Backend,0.125,0.0,FSA-1000-2000-1,HOSE 1875,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.0,in,1.875,in,5,False,Rule Engine,Stern,0.0,0.125,FSA-1000-2000-1,HS 1750-2000,CLAMP-2000,2,CLAMP-2000,2,B->Backend,Articulated; Orientation B->Backend
SureSeal,1.0,in,1.875,in,7,False,Rule Engine,Both,0.25,0.125,FSA-1000-2000-1,HOSE 1750,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.0,in,2.0,in,1,True,US Recommended,None,0.0,0.0,FSA-1000-2000-1,HS 2000-2000,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.0,in,2.0,in,3,False,Rule Engine,Backend,0.25,0.0,FSA-1000-2000-1,HS 1750-2000,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.0,in,2.0,in,3,False,Rule Engine,None,0.0,0.0,FSA-1000-2000-1,HOSE 2000,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.0,in,2.0,in,7,False,Rule Engine,Both,0.25,0.25,FSA-1000-2000-1,HOSE 1750,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.0,in,2.0,in,7,False,Rule Engine,Both,0.125,0.125,FSA-1000-2000-1,HOSE 1875,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.0,in,2.25,in,5,False,Rule Engine,Stern,0.0,0.25,FSA-1000-2000-1,HS 2000-2000,CLAMP-2000,2,CLAMP-2250,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.0,in,2.25,in,6,False,Rule Engine,Both,0.25,0.25,FSA-1000-2000-1,HS 1750-2000,CLAMP-2000,2,CLAMP-2250,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.0,in,2.25,in,6,False,Rule Engine,Stern,0.0,0.25,FSA-1000-2000-1,HOSE 2000,CLAMP-2000,2,CLAMP-2250,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.0,in,2.375,in,4,False,Rule Engine,Backend,0.25,0.0,FSA-1000-2625-1,HOSE 2375,CLAMP-2500,2,CLAMP-2250,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.0,in,2.5,in,1,True,US Recommended,None,0.0,0.0,FSA-1000-2625-1,HS 2500-2625,CLAMP-2500,2,CLAMP-2500,2,B->Backend,Articulated; Orientation B->Backend
SureSeal,1.0,in,2.5,in,4,False,Rule Engine,Backend,0.125,0.0,FSA-1000-2625-1,HOSE 2500,CLAMP-2500,2,CLAMP-2500,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.0,in,2.5,in,7,False,Rule Engine,Both,0.25,0.125,FSA-1000-2625-1,HOSE 2375,CLAMP-2500,2,CLAMP-2500,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.125,in,1.75,in,1,True,US Recommended,None,0.0,0.0,FSA-1125-2000-1,HS 1750-2000,CLAMP-2000,2,CLAMP-2000,2,B->Backend,Articulated; Orientation B->Backend
SureSeal,1.125,in,1.75,in,4,False,Rule Engine,Backend,0.25,0.0,FSA-1125-2000-1,HOSE 1750,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.125,in,2.0,in,1,True,US Recommended,None,0.0,0.0,FSA-1125-2000-1,HS 2000-2000,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.125,in,2.0,in,3,False,Rule Engine,Backend,0.25,0.0,FSA-1125-2000-1,HS 1750-2000,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.125,in,2.0,in,3,False,Rule Engine,None,0.0,0.0,FSA-1125-2000-1,HOSE 2000,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.125,in,2.0,in,7,False,Rule Engine,Both,0.25,0.25,FSA-1125-2000-1,HOSE 1750,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.125,in,2.0,in,7,False,Rule Engine,Both,0.125,0.125,FSA-1125-2000-1,HOSE 1875,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.125,in,2.25,in,4,False,Rule Engine,Backend,0.25,0.0,FSA-1125-2500-1,HOSE 2250,CLAMP-2500,2,CLAMP-2250,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.125,in,2.25,in,5,False,Rule Engine,Stern,0.0,0.25,FSA-1125-2000-1,HS 2000-2000,CLAMP-2000,2,CLAMP-2250,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.125,in,2.25,in,6,False,Rule Engine,Both,0.25,0.25,FSA-1125-2000-1,HS 1750-2000,CLAMP-2000,2,CLAMP-2250,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.125,in,2.25,in,6,False,Rule Engine,Stern,0.0,0.25,FSA-1125-2000-1,HOSE 2000,CLAMP-2000,2,CLAMP-2250,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.125,in,2.5,in,3,False,Rule Engine,None,0.0,0.0,FSA-1125-2500-1,HOSE 2500,CLAMP-2500,2,CLAMP-2500,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.125,in,2.5,in,7,False,Rule Engine,Both,0.25,0.25,FSA-1125-2500-1,HOSE 2250,CLAMP-2500,2,CLAMP-2500,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.125,in,2.5,in,7,False,Rule Engine,Both,0.125,0.125,FSA-1125-2500-1,HOSE 2375,CLAMP-2500,2,CLAMP-2500,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.25,in,1.75,in,1,True,US Recommended,None,0.0,0.0,FSA-1250-2000-1,HS 1750-2000,CLAMP-2000,2,CLAMP-2000,2,B->Backend,Articulated; Orientation B->Backend
SureSeal,1.25,in,1.75,in,3,False,Rule Engine,Backend,0.25,0.0,FSA-1250-2250-1,HS 1750-2000,CLAMP-2250,2,CLAMP-2000,2,B->Backend,Articulated; Orientation B->Backend
SureSeal,1.25,in,1.75,in,4,False,Rule Engine,Backend,0.25,0.0,FSA-1250-2000-1,HOSE 1750,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.25,in,2.0,in,1,True,US Recommended,None,0.0,0.0,FSA-1250-2000-1,HS 2000-2000,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.25,in,2.0,in,3,False,Rule Engine,Backend,0.25,0.0,FSA-1250-2000-1,HS 1750-2000,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.25,in,2.0,in,3,False,Rule Engine,None,0.0,0.0,FSA-1250-2000-1,HOSE 2000,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.25,in,2.0,in,3,False,Rule Engine,Backend,0.25,0.0,FSA-1250-2250-1,HS 2000-2000,CLAMP-2250,2,CLAMP-2000,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.25,in,2.0,in,4,False,Rule Engine,Backend,0.25,0.0,FSA-1250-2250-1,HOSE 2000,CLAMP-2250,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.25,in,2.0,in,6,False,Rule Engine,Both,0.25,0.25,FSA-1250-2250-1,HS 1750-2000,CLAMP-2250,2,CLAMP-2000,2,B->Backend,Articulated; Orientation B->Backend
SureSeal,1.25,in,2.0,in,7,False,Rule Engine,Both,0.25,0.25,FSA-1250-2000-1,HOSE 1750,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.25,in,2.0,in,7,False,Rule Engine,Both,0.125,0.125,FSA-1250-2000-1,HOSE 1875,CLAMP-2000,2,CLAMP-2000,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.25,in,2.25,in,3,False,Rule Engine,None,0.0,0.0,FSA-1250-2250-1,HOSE 2250,CLAMP-2250,2,CLAMP-2250,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.25,in,2.25,in,4,False,Rule Engine,Backend,0.125,0.0,FSA-1250-2375-1,HOSE 2250,CLAMP-2250,2,CLAMP-2250,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.25,in,2.25,in,4,False,Rule Engine,Backend,0.25,0.0,FSA-1250-2500-1,HOSE 2250,CLAMP-2500,2,CLAMP-2250,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.25,in,2.25,in,5,False,Rule Engine,Stern,0.0,0.25,FSA-1250-2000-1,HS 2000-2000,CLAMP-2000,2,CLAMP-2250,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.25,in,2.25,in,6,False,Rule Engine,Both,0.25,0.25,FSA-1250-2000-1,HS 1750-2000,CLAMP-2000,2,CLAMP-2250,2,A->Backend,Articulated; Orientation A->Backend
SureSeal,1.25,in,2.25,in,6,False,Rule Engine,Stern,0.0,0.25,FSA-1250-2000-1,HOSE 2000,CLAMP-2000,2,CLAMP-2250,2,A->Backend,Straight; Orientation A->Backend
SureSeal,1.25,in,2.25,in,6,False,Rule Engine,Both,0.25,0.25,FSA-1250-2250-1,HS 2000-2000,CLAMP-2250,2,CLAMP-2250,2,A->Backend,Articulated; Orientation A->Backend
