Measurement_System,FSK_Group_Key,Injection_Variant,FSK_SKU,Proposed_FSK_Code,Build_Status,Build_Source,Priority,Shaft_Value,Stern_OD_Value,Backend_Target_OD_in,Stern_Target_OD_in,FSA_SKU,FSA_Stock_SKU,Hose_SKU,Hose_Orientation,Clamp_Backend_SKU,Clamp_Stern_SKU,Clamp_Backend_Qty,Clamp_Stern_Qty,Requested_Port_Count,FSA_Stock_Variant,Injection_Action,Hose_Type,Stretch_Backend_in,Stretch_Stern_in,Sell_On_Website,Total_Stretch
Imperial,FSK-1000-1750,0,FSK-1000-1750-0,FSK-1000-1750-0,Generated,Rule Engine,2,1.0,1.75,2.0,1.75,FSA-1000-2000-1,FSA-1000-2000-1,HS 1750-2000,B->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Articulated,0.0,0.0,True,0.0
Imperial,FSK-1000-1750,1,FSK-1000-1750-1,FSK-1000-1750-1,Generated,Rule Engine,4,1.0,1.75,2.0,1.75,FSA-1000-2000-1,FSA-1000-2000-1,HOSE 1750,A->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Straight,0.25,0.0,True,0.25
Imperial,FSK-1000-1875,0,FSK-1000-1875-0,FSK-1000-1875-0,Generated,Rule Engine,4,1.0,1.875,2.0,1.875,FSA-1000-2000-1,FSA-1000-2000-1,HOSE 1875,A->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Straight,0.125,0.0,True,0.125
Imperial,FSK-1000-1875,1,FSK-1000-1875-1,FSK-1000-1875-1,Generated,Rule Engine,5,1.0,1.875,2.0,1.875,FSA-1000-2000-1,FSA-1000-2000-1,HS 1750-2000,B->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Articulated,0.0,0.125,True,0.125
Imperial,FSK-1000-1875,2,FSK-1000-1875-2,FSK-1000-1875-2,Generated,Rule Engine,6,1.0,1.875,2.0,1.875,FSA-1000-2000-1,FSA-1000-2000-1,HOSE 1750,A->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Straight,0.25,0.125,True,0.375
Imperial,FSK-1000-2000,0,FSK-1000-2000-0,FSK-1000-2000-0,Generated,Rule Engine,2,1.0,2.0,2.0,2.0,FSA-1000-2000-1,FSA-1000-2000-1,HS 2000-2000,A->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Articulated,0.0,0.0,True,0.0
Imperial,FSK-1000-2000,1,FSK-1000-2000-1,FSK-1000-2000-1,Generated,Rule Engine,3,1.0,2.0,2.0,2.0,FSA-1000-2000-1,FSA-1000-2000-1,HS 1750-2000,A->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Articulated,0.25,0.0,True,0.25
Imperial,FSK-1000-2000,2,FSK-1000-2000-2,FSK-1000-2000-2,Generated,Rule Engine,4,1.0,2.0,2.0,2.0,FSA-1000-2000-1,FSA-1000-2000-1,HOSE 2000,A->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Straight,0.0,0.0,True,0.0
Imperial,FSK-1000-2000,3,FSK-1000-2000-3,FSK-1000-2000-3,Generated,Rule Engine,5,1.0,2.0,2.0,2.0,FSA-1000-2000-1,FSA-1000-2000-1,HS 1750-2000,B->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Articulated,0.0,0.25,True,0.25
Imperial,FSK-1000-2000,4,FSK-1000-2000-4,FSK-1000-2000-4,Generated,Rule Engine,6,1.0,2.0,2.0,2.0,FSA-1000-2000-1,FSA-1000-2000-1,HOSE 1750,A->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Straight,0.25,0.25,True,0.5
Imperial,FSK-1000-2250,0,FSK-1000-2250-0,FSK-1000-2250-0,Generated,Rule Engine,5,1.0,2.25,2.0,2.25,FSA-1000-2000-1,FSA-1000-2000-1,HOSE 2000,A->Backend,CLAMP-2000,CLAMP-2250,2,2,1,0,0,Straight,0.0,0.25,True,0.25
Imperial,FSK-1000-2250,1,FSK-1000-2250-1,FSK-1000-2250-1,Generated,Rule Engine,5,1.0,2.25,2.0,2.25,FSA-1000-2000-1,FSA-1000-2000-1,HS 2000-2000,A->Backend,CLAMP-2000,CLAMP-2250,2,2,1,0,0,Articulated,0.0,0.25,True,0.25
Imperial,FSK-1000-2250,2,FSK-1000-2250-2,FSK-1000-2250-2,Generated,Rule Engine,6,1.0,2.25,2.0,2.25,FSA-1000-2000-1,FSA-1000-2000-1,HS 1750-2000,A->Backend,CLAMP-2000,CLAMP-2250,2,2,1,0,0,Articulated,0.25,0.25,True,0.5
