Measurement_System,FSK_Group_Key,Injection_Variant,FSK_SKU,Proposed_FSK_Code,Build_Status,Build_Source,Priority,Shaft_Value,Stern_OD_Value,Backend_Target_OD_in,Stern_Target_OD_in,FSA_SKU,FSA_Stock_SKU,Hose_SKU,Hose_Orientation,Clamp_Backend_SKU,Clamp_Stern_SKU,Clamp_Backend_Qty,Clamp_Stern_Qty,Requested_Port_Count,FSA_Stock_Variant,Injection_Action,Hose_Type,Stretch_Backend_in,Stretch_Stern_in,Sell_On_Website,Total_Stretch
Imperial,FSK-0875-1500,0,FSK-0875-1500-0,FSK-0875-1500-0,Generated,Rule Engine,4,0.875,1.5,1.5,1.5,FSA-0875-1500-0,FSA-0875-1500-1,HOSE 1500,A->Backend,CLAMP-1500,CLAMP-1500,2,2,0,0,0,Straight,0.0,0.0,False,0.0
Imperial,FSK-0875-1500,1,FSK-0875-1500-1,FSK-0875-1500-1,Generated,Rule Engine,4,0.875,1.5,1.5,1.5,FSA-0875-1500-1,FSA-0875-1500-1,HOSE 1500,A->Backend,CLAMP-1500,CLAMP-1500,2,2,1,0,0,Straight,0.0,0.0,False,0.0
Imperial,FSK-0875-1500,2,FSK-0875-1500-2,FSK-0875-1500-2,Generated,Rule Engine,4,0.875,1.5,1.5,1.5,FSA-0875-1500-4,FSA-0875-1500-4,HOSE 1500,A->Backend,CLAMP-1500,CLAMP-1500,2,2,4,0,0,Straight,0.0,0.0,False,0.0
Imperial,FSK-0875-1500,3,FSK-0875-1500-3,FSK-0875-1500-3,Generated,Rule Engine,4,0.875,1.5,1.5,1.5,FSA-0875-1500-5,FSA-0875-1500-5,HOSE 1500,A->Backend,CLAMP-1500,CLAMP-1500,2,2,5,0,0,Straight,0.0,0.0,False,0.0
Imperial,FSK-0875-1500,4,FSK-0875-1500-4,FSK-0875-1500-4,Generated,Rule Engine,4,0.875,1.5,1.75,1.5,FSA-0875-1750-0,FSA-0875-1750-1,HOSE 1500,A->Backend,CLAMP-2000,CLAMP-1500,2,2,0,0,0,Straight,0.25,0.0,False,0.25
Imperial,FSK-0875-1750,0,FSK-0875-1750-0,FSK-0875-1750-0,Generated,Rule Engine,2,0.875,1.75,2.0,1.75,FSA-0875-2000-0,FSA-0875-2000-1,HS 1750-2000,B->Backend,CLAMP-2000,CLAMP-2000,2,2,0,0,0,Articulated,0.0,0.0,False,0.0
Imperial,FSK-0875-1750,1,FSK-0875-1750-1,FSK-0875-1750-1,Generated,Rule Engine,2,0.875,1.75,2.0,1.75,FSA-0875-2000-1,FSA-0875-2000-1,HS 1750-2000,B->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Articulated,0.0,0.0,False,0.0
Imperial,FSK-0875-1750,2,FSK-0875-1750-2,FSK-0875-1750-2,Generated,Rule Engine,4,0.875,1.75,1.75,1.75,FSA-0875-1750-0,FSA-0875-1750-1,HOSE 1750,A->Backend,CLAMP-2000,CLAMP-2000,2,2,0,0,0,Straight,0.0,0.0,False,0.0
Imperial,FSK-0875-1750,3,FSK-0875-1750-3,FSK-0875-1750-3,Generated,Rule Engine,4,0.875,1.75,2.0,1.75,FSA-0875-2000-0,FSA-0875-2000-1,HOSE 1750,A->Backend,CLAMP-2000,CLAMP-2000,2,2,0,0,0,Straight,0.25,0.0,False,0.25
Imperial,FSK-0875-1750,4,FSK-0875-1750-4,FSK-0875-1750-4,Generated,Rule Engine,4,0.875,1.75,2.0,1.75,FSA-0875-2000-1,FSA-0875-2000-1,HOSE 1750,A->Backend,CLAMP-2000,CLAMP-2000,2,2,1,0,0,Straight,0.25,0.0,False,0.25
